id,type,dates,name,price
1,false,29/1/2019,Mushroom - Morel Frozen,79
2,false,12/1/2019,Stainless Steel Cleaner Vision,111
3,false,30/1/2019,Flavouring - Orange,938
4,true,5/1/2019,Chocolate - Compound Coating,579
5,true,4/1/2019,Peas Snow,60
6,true,14/1/2019,Tobasco Sauce,127
7,true,5/1/2019,"Vermouth - Sweet, Cinzano",100
8,true,29/1/2019,"Split Peas - Green, Dry",347
9,false,11/1/2019,Dish Towel,334
10,true,20/1/2019,Sausage - Breakfast,949
11,false,10/1/2019,Tomato Puree,946
12,true,26/1/2019,Thermometer Digital,602
13,false,14/1/2019,Chinese Lemon Pork,473
14,false,26/1/2019,Loquat,179
15,false,13/1/2019,Raisin - Golden,482
16,true,4/1/2019,"Champagne - Brights, Dry",776
17,true,8/1/2019,"Artichoke - Bottom, Canned",459
18,true,13/1/2019,Mix - Cocktail Strawberry Daiquiri,945
19,true,8/1/2019,Table Cloth 54x54 Colour,499
20,false,18/1/2019,Mangostein,498
21,false,8/1/2019,Veal - Knuckle,315
22,true,26/1/2019,Beer - Camerons Cream Ale,891
23,true,2/1/2019,Green Tea Refresher,31
24,false,27/1/2019,Fork - Plastic,406
25,true,1/1/2019,Syrup - Pancake,52
26,false,10/1/2019,Chocolate Liqueur - Godet White,516
27,false,7/1/2019,Veal - Leg,695
28,false,10/1/2019,Capers - Ox Eye Daisy,55
29,false,29/1/2019,Sprite - 355 Ml,843
30,true,13/1/2019,"Bread - Roll, Whole Wheat",511
31,false,21/1/2019,External Supplier,157
